"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_COOLDOWN","Cooldown:","فترة الانتظار:","冷却时间：","冷卻時間：","Abklingzeit:","Recuperación:","زمان انتظار:","Palautumisaika","Délai d'attente :","Masa tenang:","Ricarica:","使用間隔：","재사용 대기시간:","Masa menunggu:","Afkoeltijd:","Ventetid:","Espera:","Перерыв:","คูลดาวน์:","Bekleme süresi:","T.gian chờ:"
"TID_OBSTACLE_XMASTREE","X-Mas Tree","شجرة عيد Clash","Clash圣诞树","Clash聖誕樹","Clash-Weihnachtsbaum","Árbol de Clashvidad","درخت کلش‌کریسمس","Clashin joulukuusi","Sapin de Clash Noël","Pohon Clashmas","Albero di Clashtale","クラッシュマスツリー","클래시마스 트리","Pokok Clashmas","Clashmis-boom","Clashmas-tre","Árvore de Clash Natalino","Новогодняя елка","ต้นแคลชมาส","Clash Yeni Yılı Ağacı","Cây thông Giáng Sinh Clash"
"TID_ADD_FRIENDS_INFO_REQUESTS","Add Clash Friends from their player profile. Game Center and Facebook friends automatically appear once you've logged in.","أضف أصدقاء Clash من ملفات اللاعبين الشخصية. يظهر أصدقاء Game Center وSupercell ID تلقائيًا بمجرد تسجيلك للدخول.","在其他玩家的简介页面可将其添加为好友。登录苹果游戏中心(Game Center)和Supercell ID后，您可以在这里查看您的好友。","在其他玩家的個人資料頁面可將其新增為好友。登入Game Center和Supercell ID後，您可以在這裡查看您的好友。","Füge Clash-Freunde über ihr Spielerprofil hinzu. Game Center- und Supercell-ID-Freunde werden automatisch angezeigt, wenn du verbunden bist.","Añade amigos desde sus perfiles. Los amigos de Game Center y de Supercell ID aparecerán automáticamente cuando te conectes.","دوستان قبیله را از نمایه بازیکن آنها اضافه کنید. دوستان «مرکز بازی» و Supercell ID زمانی‌که وارد سیستم شوید، به‌طور خودکار نشان داده می‌شوند.","Lisää pelaajia Clash-kavereiksi heidän pelaajaprofiiliensa kautta. Game Center- ja Supercell ID -kaverit näkyvät automaattisesti, kun olet kirjautuneena näihin palveluihin.","Ajoutez des amis dans Clash via leur profil de joueur. Vos amis Supercell ID et Game Center s'affichent automatiquement lorsque vous vous connectez.","Tambahkan Teman Clash dari profil pemain mereka. Teman Game Center dan Supercell ID akan muncul secara otomatis begitu kamu masuk.","Aggiungi amici Clash dal loro profilo giocatore. Gli amici di Supercell ID e di Game Center appaiono automaticamente dopo che hai effettuato l'accesso.","プレイヤープロフィールから、ゲーム内フレンドに追加しましょう。Game CenterやSupercell IDのフレンドは、ログインすると自動的に表示されます。","플레이어 프로필에서 클래시 친구로 등록하세요.\nGame Center와 Supercell ID 친구들은 로그인하면 자동으로 표시됩니다.","Tambah Rakan Clash daripada profil pemain mereka. Rakan Game Center dan Supercell ID muncul secara automatik sebaik sahaja anda telah melog masuk.","Voeg Clash-vrienden toe via hun spelersprofiel. Game Center- en Supercell ID-vrienden worden automatisch weergegeven nadat je je hebt aangemeld.","Du kan legge til Clash-venner fra spillerprofilen deres. Game Center- og Supercell ID-venner legges til automatisk når du har logget inn.","Adicione amigos no Clash a partir do perfil deles. Amigos do Game Center e do Supercell ID aparecem automaticamente ao se conectar.","Добавьте друга в Clash прямо из его профиля. Друзья по Game Center и Supercell ID автоматически появляются при входе в учетную запись.","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก Game Center และ Supercell ID จะปรากฏโดยอัตโนมัติเมื่อท่านล็อกอิน","Oyuncu profili üzerinden oyun içi arkadaş ekleyebilirsin. Game Center ve Supercell ID arkadaşları, giriş yaptığın zaman otomatik olarak görünür.","Thêm bạn Clash từ hồ sơ người chơi của họ. Bạn bè từ Game Center và Supercell ID sẽ tự động xuất hiện sau khi bạn đăng nhập."
"TID_ADD_FRIENDS_INFO_REQUESTS_ANDROID","Add Clash Friends from their player profile. Facebook friends automatically appear once you've logged in.","أضف أصدقاء Clash من خلال ملفات اللاعبين الشخصية. سيظهر أصدقاء Supercell ID تلقائيًا بمجرد تسجيلك للدخول.","在其他玩家的简介页面可将其添加为好友。登录Supercell ID后，您可以在这里查看您的好友。","在其他玩家的個人資料頁面可將其新增為好友。登入Supercell ID後，您可以在這裡查看您的好友。","Füge Clash-Freunde über ihr Spielerprofil hinzu. Supercell-ID-Freunde werden automatisch angezeigt, wenn dein Spiel damit verbunden ist.","Añade amigos desde sus perfiles. Los amigos de Supercell ID aparecerán automáticamente cuando te conectes.","دوستان قبیله را از نمایه بازیکن آنها اضافه کنید. دوستان Supercell ID زمانی‌که وارد سیستم شوید، به‌طور خودکار نشان داده می‌شوند.","Lisää pelaajia Clash-kavereiksi heidän pelaajaprofiiliensa kautta. Supercell ID -kaverit näkyvät automaattisesti, kun olet kirjautuneena palveluun.","Ajoutez des amis dans Clash via leur profil de joueur. Vos amis Supercell ID s'affichent automatiquement lorsque vous vous connectez.","Tambahkan Teman Clash dari profil pemain mereka. Teman Supercell ID akan muncul secara otomatis begitu kamu masuk.","Aggiungi amici Clash dal loro profilo giocatore. Gli amici di Supercell ID appaiono automaticamente dopo che hai effettuato l'accesso.","プレイヤープロフィールから、ゲーム内フレンドに追加しましょう。\nSupercell IDのフレンドは、ログインすると自動的に表示されます。","플레이어 프로필에서 클래시 친구로 등록하세요.\n로그인하면 WeChat이나 Supercell ID 친구들이 자동으로 표시됩니다.","Tambah Rakan Clash daripada profil pemain mereka. Rakan Supercell ID muncul secara automatik sebaik sahaja anda telah melog masuk.","Voeg Clash-vrienden toe via hun spelersprofiel. Supercell ID-vrienden worden automatisch weergegeven nadat je je hebt aangemeld.","Du kan legge til Clash-venner fra spillerprofilen deres. Supercell ID-venner legges til automatisk når du har logget inn.","Adicione amigos no Clash a partir do perfil deles. Amigos do Supercell ID aparecem automaticamente ao se conectar.","Добавьте друга в Clash прямо из его профиля. Друзья по Supercell ID автоматически появляются при входе в учетную запись.","เพิ่มเพื่อน Clash จากประวัติผู้เล่นของพวกเขา เพื่อนจาก Supercell ID จะปรากฏโดยอัตโนมัติเมื่อท่านล็อกอิน","Oyuncu profili üzerinden oyun içi arkadaş ekleyebilirsin. Supercell ID arkadaşları, giriş yaptığın zaman otomatik olarak görünür.","Thêm bạn Clash từ hồ sơ người chơi của họ. Bạn bè từ Supercell ID sẽ tự động xuất hiện sau khi bạn đăng nhập."
"TID_CHAT_LANGUAGE","Chat Language","لغة المحادثة:","聊天语言：","聊天語言：","Chatsprache:","Idioma del chat:","زبان چت","Chatin kieli","Langue du chat :","Bahasa Obrolan:","Lingua della chat:","チャット言語：","채팅 언어","Bahasa Bual:","Taal in de chat:","Chattespråk:","Idioma do bate-papo:","Язык чата:","ภาษาแชต:","Sohbet Dili:","Ngôn ngữ chat:"
"TID_CLAN_ADVANCED_SEARCH_RESULTS_WITH_NAME","Displaying search results for \q<name>\q, using advanced options","عرض نتائج البحث لـ\q<name>\q، باستخدام خيارات متقدمة","显示关于\q<name>\q的高级搜索结果","顯示關於\q<name>\q的進階搜尋結果","Suchergebnisse für \q<name>\q werden mithilfe der erweiterten Optionen angezeigt","Resultados de la búsqueda por \q<name>\q con opciones avanzadas","نمایش نتایج جستجو برای \q<name>\q، با استفاده از گزینه‌های پیشرفته","Tulokset haulle \q<name>\q, haun lisäasetukset käytössä","Résultats de la recherche sur \q<name>\q, avec options avancées","Menampilkan hasil pencarian untuk \q<name>\q, menggunakan opsi lanjutan","Visualizzazione risultati della ricerca per \q<name>\q usando le opzioni avanzate","検索オプションを使用した「<name>」の検索結果：","고급 옵션을 사용하여 \q<name>\q에 대한 검색 결과 표시","Memaparkan keputusan carian untuk \q<name>\q, menggunakan pilihan lanjutan.","Zoekresultaten voor '<name>' worden weergegeven met behulp van geavanceerde opties","Viser søkeresultater for \q<name>\q, ved bruk av avanserte alternativer","Exibindo resultados da pesquisa por \q<name>\q, usando opções avançadas.","Показаны результаты расширенного поиска по запросу \q<name>\q.","แสดงผลการค้นหาของ \q<name>\q โดยใช้ตัวเลือกขั้นสูง","Gelişmiş seçenekler kullanılarak \q<name>\q için arama sonuçları görüntüleniyor","Hiển thị kết quả tìm kiếm cho \q<name>\q, bằng tùy chọn nâng cao"
"TID_LOADING_CHINA","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 新出网证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 新出网证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。","本网络游戏适合年满13周岁以上的用户使用；为了您的健康，请合理控制游戏时间。粤网文【2017】6138-1456号、 （总）网出证（粤）字第057号 著作权人：SUPERCELL OY 出版单位：北京昆仑乐享网络技术有限公司 文网游进字[2015]0062号 审批文号:新广出审[2015]1084号 出版物号：ISBN 978-7-89988-438-6 抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。"
"TID_CLANGAMES_TASK_INFO_USE_SNEAKYARCHERS","Earn <num> Stars from Versus Battles using <num2> Sneaky Archers.","اربح <num> من النجوم من معارك المواجهة باستخدام <num2> من راميات السهام الماكرات.","在对抗赛中赢得<num>颗胜利之星，每场战斗需使用<num2>个隐秘弓箭手。","在對抗賽中贏得<num>顆勝利之星，每場戰鬥需使用<num2>個隱密弓箭手。","Verdiene <num> Sterne in Duellen und setze dabei <num2> Schleichschützen ein.","Gana <num> estrellas en enfrentamientos usando <num2> arqueras furtivas.","با استفاده از <num2> کماندار زیرک، <num> ستاره از نبردهای رو در رو کسب کنید.","Hanki <num> tähteä kaksintaisteluista käyttämällä\n<num2> juonikasta jousiampujaa.","Gagnez <num> étoiles en duel en utilisant <num2> archères furtives.","Raih <num> Bintang dari Pertempuran Versus dengan <num2> Pemanah Licik.","Ottieni <num> stelle dagli scontri a due usando <num2> arcieri furtivi.","<num2>体のスニークアーチャーを使い、バーサス戦で<num>個の星を獲得する。","장인기지 대전에서\n은신 아처(x<num2>)를 사용해\n별 <num>개 획득","Meraih <num> bintang dari pertempuran berbalas menggunakan <num2> Pemanah Licik.","Verdien <num> sterren in duels met behulp van <num2> geniepige boogschutter(s).","Sikre deg <num> stjerner fra dueller ved å bruke <num2> snikete bueskyttere.","Ganhe <num> estrelas em batalhas simultâneas usando <num2> Arqueiras Sorrateiras.","Получите звезды (<num>) в боях с противником, используя коварных лучниц (<num2>).","ได้รับดาว <num> ดวงจากการรบประจันหน้าโดยใช้พลธนูเร้นกาย <num2> คน","<num2> Sinsi Okçu kullanarak Karşılıklı Savaşlardan <num> Yıldız kazan.","Kiếm được <num> Sao từ Trận chiến Đối đầu có sử dụng <num2> Cung thủ Lén lút."
"TID_CONTACT_US_WELCOME_TEXT","Hello!","مرحبًا!","您好！","Hello！","Hallo!","¡Hola!","Hello!","Hei!","Bonjour !","Halo.","Salve!","こんにちは！","안녕하세요.","Helo!","Hallo.","Hello!","Olá!","Здравствуйте!","Hello!","Hello!","Hello!"
"TID_ALLIANCE_CASTLE_INFO","The Clan Castle houses your Treasury and any reinforcement troops or spells sent by your clanmates.","تضم قلعة القبيلة خزينتك وأي قوات تعزيز أو تعويذات يرسلها زملاؤك في القبيلة.","宝库以及部落成员增援的部队和法术都会存放在您的部落城堡中。","寶庫以及部落成員增援的部隊和法術都會存放在您的部落城堡中。","In deiner Clanburg befinden sich deine Schatzkammer sowie eventuell Verstärkungstruppen oder Zauber, die deine Clankameraden dir geschickt haben.","El castillo del clan alberga tu tesorería, además de las tropas de refuerzo y los hechizos que te envíen tus aliados.","قلعه قبیله محل نگهداری خزانه و همه نیروهای کمکی یا طلسم‌های ارسال شده توسط سایر هم‌قبیله‌ای‌ها است.","Klaanilinna sisältää aarrekammiosi sekä kaikki klaanikavereilta saamasi vahvistusjoukot ja loitsut.","Le château de clan abrite votre trésorerie ainsi que les troupes de renfort et les sorts envoyés par les membres de votre clan.","Kastel Klan menampung Bank dan segala peleton atau mantra bantuan yang dikirimkan rekan satu klan.","Il castello del clan ora ospita la tesoreria e tutte le truppe e gli incantesimi donati dai membri del tuo clan.","クランの城の中には宝庫と、クランの仲間から寄付されたユニットや呪文があります。","클랜 성에는 클랜원이 보낸 지원군 또는 마법과 함께, 자원을 보관할 수 있는 금고가 있습니다.","Istana Klan menempatkan harta karun anda dan sebarang askar peneguhan atau sihir dihantar oleh rakan klan anda.","In het clankasteel bevinden zich je schatkamer en de versterkingen of spreuken die je clangenoten je sturen.","I klanslottet ditt finner du skattkammeret og alle ekstra tropper og formler som klanvennene dine har sendt.","O Castelo do Clã abriga a sua Torre do Tesouro e as tropas e feitiços enviados pelos seus colegas de clã.","В крепости клана находятся сокровищница и отправленные соклановцами войска.","ปราสาทแคลนเป็นที่อยู่ของกรมคลังของท่าน รวมถึงกองกำลังหรืออาคมเสริมที่เพื่อนร่วมแคลนส่งมาให้","Klan Kalesi'nde hem Hazinelerimiz hem de klan arkadaşların tarafından gönderilen takviye birlikler ve büyüler bulunur.","Hội Thành là nơi cất trữ Ngân khố cũng như binh lính tiếp viện hoặc thần chú do các chiến hữu đồng hội gửi cho bạn."
